dataset,cifar10
model,resnet18
batch_size,128
epochs,200
learning_rate,0.1
data_augmentation,False
no_cuda,False
seed,0
beta,1
salmix_prob,0.5
cuda,True
""
epoch,train_acc,test_acc
0,16.022,10.0
1,10.0,10.0
2,10.0,10.0
3,10.0,10.0
